编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
20,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL38-保[非地域]人流费用,96.74,2,4,50.00%,48.37,2
21,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL23-[计生人流]人流时间-b,51.22,2,7,28.57%,25.61,2
22,2019-07-23至2019-07-23,cm_029866a@sohu.com,BD01-[症状]白带异常,2.49,1,12,8.33%,2.49,1
23,2019-07-23至2019-07-23,cm_029866a@sohu.com,ZY01-流量【早孕/怀孕检查】,3.16,1,5,20.00%,3.16,1
24,2019-07-23至2019-07-23,cm_029866a@sohu.com,ZY08-流量-【早孕】-早孕检测,11.46,4,54,7.41%,2.87,4
25,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ17-[急性症状]阴道口症状-a,19.35,6,10,60.00%,3.23,6
26,2019-07-23至2019-07-23,cm_029866a@sohu.com,ZY06-[早孕]-早孕测试-试纸,5.01,2,5,40.00%,2.51,2
27,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ20-[炎症] 妇科症状词[-fkyz],57.08,21,99,21.21%,2.72,19
28,2019-07-23至2019-07-23,cm_029866a@sohu.com,YL03-[计生人流]药流重点,89.29,3,13,23.08%,29.76,3
29,2019-07-23至2019-07-23,cm_029866a@sohu.com,HY11-[竞品词]-a,6.08,1,1,100.00%,6.08,1
30,2019-07-23至2019-07-23,cm_029866a@sohu.com,SH02-流量【上环 取环】LLSH-33,8.1,2,2,100.00%,4.05,2
31,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL20-[计生人流]打胎,4.02,1,8,12.50%,4.02,1
32,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ09-[妇科炎症]阴道出血,17.62,7,29,24.14%,2.52,7
33,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL37-保[非地域]打胎人-RL,14.38,1,1,100.00%,14.38,1
34,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL10-[计生]流产,24.6,1,7,14.29%,24.6,1
35,2019-07-23至2019-07-23,cm_029866a@sohu.com,ZY07-[早孕]早早孕,4.97,2,4,50.00%,2.49,2
36,2019-07-23至2019-07-23,cm_029866a@sohu.com,HY25-新重点【西安妇科医院】yy3,19.42,1,1,100.00%,19.42,1
37,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL44-新【非地域】人流费用rlfy-85,47.04,1,1,100.00%,47.04,1
38,2019-07-23至2019-07-23,cm_029866a@sohu.com,JS28-[计生] 西安人流+费用//大夜,9.55,1,1,100.00%,9.55,1
39,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ24-新【非地域】宫颈炎-76,4,1,4,25.00%,4,1
40,2019-07-23至2019-07-23,cm_029866a@sohu.com,ZY03-[早孕]测怀孕,18.89,6,16,37.50%,3.15,6
41,2019-07-23至2019-07-23,cm_029866a@sohu.com,FKJC02-[检查]非地域,4.2,1,3,33.33%,4.2,1
42,2019-07-23至2019-07-23,cm_029866a@sohu.com,HY09-[妇科医院]妇科医院,35.62,2,3,66.67%,17.81,2
编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
总计,--,--,--,1181.22,239,2057,11.62%,4.94,179
1,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,RL08，39人流后-&&,6.41,1,2,50.00%,6.41,1
2,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,GJ01，西安宫颈糜烂,46.69,12,201,5.97%,3.89,1
3,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YZ06，【炎症】外阴瘙痒,28.46,6,8,75.00%,4.74,6
4,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,QT02，【其它】在线咨询类,19.9,5,32,15.63%,3.98,4
5,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,QG01，【清宫】清宫,34.83,4,19,21.05%,8.71,4
6,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YJ02，【月经】月经推迟,72.2,17,87,19.54%,4.25,13
7,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YZ01，【炎症】白带异常,55.05,17,197,8.63%,3.24,13
8,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YL04，[计划生育]-药流-流量YL,13,2,8,25.00%,6.5,2
9,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,ZY05，【早孕】-怀孕的症状,102.06,21,185,11.35%,4.86,12
10,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,QT01，下拉词/,6.37,1,13,7.69%,6.37,1
11,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YJ03，【早孕】月经推迟,109.36,28,89,31.46%,3.91,26
12,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,RL63，[计划生育]-人流时间,9.22,1,1,100.00%,9.22,1
13,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,JC03，汇总妇科检查,2.25,2,9,22.22%,1.13,2
14,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,RL59，【人流】-人流//,27.39,1,2,50.00%,27.39,1
15,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,ZY01，【早孕】尿检,3.23,1,3,33.33%,3.23,1
16,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YJ01，【月经】月经不调,3.76,1,1,100.00%,3.76,1
17,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YZ07，【炎症】阴道出血,302.77,50,645,7.75%,6.06,32
18,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YZ02，【炎症】具体症状,88.61,23,150,15.33%,3.85,22
19,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,RL39，西安人流费用,13.1,1,1,100.00%,13.1,1
20,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,ZY02，【早孕】早孕检查,64.19,10,190,5.26%,6.42,7
21,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YL01，【药流】药流//,21.72,2,15,13.33%,10.86,2
22,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,ZY07，测孕-流量,85.18,24,120,20.00%,3.55,18
23,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,RL19，【人流】人流偏词//,35.12,2,23,8.70%,17.56,2
24,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,YZ09，【妇科炎症】-阴道出血,13.05,3,40,7.50%,4.35,2
25,2019-07-23至2019-07-23,cm_nkywyy@sohu.com,JC02，妇科检查杂词,17.3,4,16,25.00%,4.33,4
编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
总计,--,--,--,3051.76,349,1630,21.41%,8.74,290
1,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RL1-[人流]-重点,48.59,2,3,66.67%,24.3,2
2,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,[妇科]-妇科流量,174.4,3,3,100.00%,58.13,2
3,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,血检-[早孕],21.29,4,7,57.14%,5.32,3
4,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLDT-[人流打胎]-重点,74.77,3,3,100.00%,24.92,3
5,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,DYRL1-[西安人流]-重点,145.17,4,14,28.57%,36.29,4
6,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,月经疼痛,7.97,9,21,42.86%,0.89,6
7,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,DYRL-[西安人流]-重点,180.42,3,4,75.00%,60.14,3
8,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-外阴湿疹,17.65,1,1,100.00%,17.65,1
9,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLYWHY-[人流],49.42,2,10,20.00%,24.71,1
10,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,查怀孕-[早孕],10.57,2,5,40.00%,5.29,2
11,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLYHY-[人流],10.66,1,2,50.00%,10.66,1
12,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-阴道干涩,7.19,1,1,100.00%,7.19,1
13,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,SQH02，环/上环30元,5,1,5,20.00%,5,1
14,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLSH-[人流],9.71,1,1,100.00%,9.71,1
15,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,月经推迟-[早孕],797.43,124,746,16.62%,6.43,87
16,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,测怀孕-[早孕],26.16,5,8,62.50%,5.23,5
17,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLLC-[人流流产]-重点,80.74,3,3,100.00%,26.91,3
18,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,SQH01，环/取环,3.76,2,3,66.67%,1.88,2
19,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLYL-[人流药流]-重点,178.4,8,44,18.18%,22.3,8
20,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,怀孕症状-[早孕],74.79,34,242,14.05%,2.2,29
21,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,D-ZX-3私密整形[阴道紧缩],4.21,1,1,100.00%,4.21,1
22,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,DYRL2-[西安人流]-重点,39.32,1,1,100.00%,39.32,1
23,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLQGGG-[人流]-清宫刮宫,0.5,1,1,100.00%,0.5,1
24,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,PP04，[品牌]，莲湖生殖2,11.11,1,2,50.00%,11.11,1
25,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RL6-[人流]-重点,14.93,1,1,100.00%,14.93,1
26,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,D-SQH-1上取环,16.45,4,14,28.57%,4.11,3
27,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-阴道出血,101.43,8,40,20.00%,12.68,8
28,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLZY-[人流],11.25,1,1,100.00%,11.25,1
29,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,[妇科]-西安妇科,45.12,1,2,50.00%,45.12,1
30,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-阴道炎,27.3,4,33,12.12%,6.83,4
31,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,月经不调,63.21,39,148,26.35%,1.62,35
32,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RL-[人流]-重点,279.95,11,23,47.83%,25.45,10
33,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,YC-[人流引产]-重点,35.05,1,1,100.00%,35.05,1
34,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-外阴疙瘩,16.95,2,2,100.00%,8.48,2
35,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RLRLH-[人流],2.79,2,11,18.18%,1.4,2
36,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,D-BD-白带异样(大夜),1.36,1,2,50.00%,1.36,1
37,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RL5-[人流]-重点,31.26,2,17,11.76%,15.63,1
38,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,白带流量,24.78,7,29,24.14%,3.54,7
39,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-外阴疼痛,44.3,7,9,77.78%,6.33,7
40,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,白带重点,75.48,16,82,19.51%,4.72,13
41,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,炎症-外阴瘙痒,107.63,11,52,21.15%,9.78,11
42,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,试纸-[早孕],121.22,12,30,40.00%,10.1,11
43,2019-07-23至2019-07-23,cm_120sxnk@sohu.com,RL3-[人流]-重点,52.07,2,2,100.00%,26.04,2
