数据生成时间：2019-07-24 07:41
数据生成条件：
1. 时间范围：20190723
2. 时间单位：分日
3. 推广设备：移动设备，计算机
4. 投放网络：内部流量，搜索合作流量，百度首页流量，百度贴吧流量

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,电话转化,商桥转化,推广计划ID
"xa-lhyy66","2019-07-23","E-PP-3-品牌词",14,1,12.57,12.57,7.14%,0,0,0,106064495
"xa-lhyy66","2019-07-23","E-RL-39-人流时间-7.1调整关注",35,1,4.68,4.68,2.86%,0,0,0,106064496
"xa-lhyy66","2019-07-23","E-RL-50-人流11词-高价",621,10,307.53,30.75,1.61%,0,0,0,106064497
"xa-lhyy66","2019-07-23","E-RL-52-人流费用-高价",546,7,184.74,26.39,1.28%,0,0,0,106064499
"xa-lhyy66","2019-07-23","E-RL-33-[人流]医院-综合-m",22,1,9.83,9.83,4.55%,0,0,0,106064509
"xa-lhyy66","2019-07-23","E-RL-3-[流产]时间-月周天-m",12,1,4.42,4.42,8.33%,0,0,0,106064510
"xa-lhyy66","2019-07-23","E-RL-35-人流 MO 时间",101,8,46.82,5.85,7.92%,0,0,0,106064511
"xa-lhyy66","2019-07-23","E-YZ-51-阴道出血",147,17,36.10,2.12,11.56%,0,0,0,106064512
"xa-lhyy66","2019-07-23","E-YZ-42-阴道出血JQ",290,27,99.82,3.70,9.31%,0,0,0,106064513
"xa-lhyy66","2019-07-23","E-PP-1-品牌词玛丽医院",40,9,138.40,15.38,22.50%,0,0,0,106064531
"xa-lhyy66","2019-07-23","E-YZ-10-疙瘩-痘-泡",1119,52,131.03,2.52,4.65%,0,0,0,106064534
"xa-lhyy66","2019-07-23","E-YL-4-[药流]医院 新",398,6,134.13,22.36,1.51%,0,0,0,106064535
"xa-lhyy66","2019-07-23","E-YL-8保药流",356,9,115.86,12.87,2.53%,0,0,0,106064539
"xa-lhyy66","2019-07-23","E-YJ-1-月经推迟",55,5,7.49,1.50,9.09%,0,0,0,106064564
"xa-lhyy66","2019-07-23","E-YJ-12-月经推迟JQ",179,12,24.70,2.06,6.70%,0,0,0,106064566
"xa-lhyy66","2019-07-23","E-YJ-7-[月经推迟]",36,4,5.31,1.33,11.11%,0,0,0,106064568
"xa-lhyy66","2019-07-23","E-YJ-4-月经延迟",21,0,0.00,0.00,0.00%,0,0,0,106064569
"xa-lhyy66","2019-07-23","E-YJ-5-月经推迟",21,2,4.58,2.29,9.52%,0,0,0,106064570
"xa-lhyy66","2019-07-23","E-YJ-13-例假推迟早孕JQ",76,6,12.11,2.02,7.89%,0,0,0,106064571
"xa-lhyy66","2019-07-23","E-YL-1-[药流]时间 新",117,8,98.39,12.30,6.84%,0,0,0,106064573
"xa-lhyy66","2019-07-23","E-YJ-6-月经推迟",20,1,0.57,0.57,5.00%,0,0,0,106064575
"xa-lhyy66","2019-07-23","E-RL-47-人流-人流后-低价勿动",162,15,24.70,1.65,9.26%,0,0,0,106892032
"xa-lhyy66","2019-07-23","E-RL-9-（非地域）流产",33,0,0.00,0.00,0.00%,0,0,0,106064418
"xa-lhyy66","2019-07-23","E-RL-28-[人流]时间-天-m",42,2,10.46,5.23,4.76%,0,0,0,106064482
"xa-lhyy66","2019-07-23","E-RL-20-[打胎]时间-月周天-m",35,0,0.00,0.00,0.00%,0,0,0,106064487
"xa-lhyy66","2019-07-23","E-RL-11-[人流]时间-X周-m",6,0,0.00,0.00,0.00%,0,0,0,106064491
"xa-lhyy66","2019-07-23","E-RL-10-[人流]流量-杂-m",1,0,0.00,0.00,0.00%,0,0,0,106064494
"xa-lhyy66","2019-07-23","E-PP-2-品牌词下拉词",24,1,9.32,9.32,4.17%,0,0,0,106064528
"xa-lhyy66","2019-07-23","E-RL-54-西安人流-高价",11,0,0.00,0.00,0.00%,0,0,0,106064426
"xa-lhyy66","2019-07-23","E-SMZX-2私密整形[处女膜修复]",4,0,0.00,0.00,0.00%,0,0,0,106064459
"xa-lhyy66","2019-07-23","E-RL-1-[人流]时间-X天-m",5,1,4.38,4.38,20.00%,0,0,0,106064493
"xa-lhyy66","2019-07-23","E-RL-45-西安人流费用",136,0,0.00,0.00,0.00%,0,0,0,106064498
"xa-lhyy66","2019-07-23","E-RL-43-人流费用",19,0,0.00,0.00,0.00%,0,0,0,106064504
"xa-lhyy66","2019-07-23","E-SMZX-1私密[阴唇整形]",3,0,0.00,0.00,0.00%,0,0,0,106064456
"xa-lhyy66","2019-07-23","E-RL-22-[人流]费用1-m",39,0,0.00,0.00,0.00%,0,0,0,106064485
"xa-lhyy66","2019-07-23","E-RL-44-人流",3,0,0.00,0.00,0.00%,0,0,0,106064501
"xa-lhyy66","2019-07-23","E-RL-46-（地域）西安人流医院",20,0,0.00,0.00,0.00%,0,0,0,106064503
"xa-lhyy66","2019-07-23","E-RL-38-人流下拉",20,1,10.08,10.08,5.00%,0,0,0,106064508
"xa-lhyy66","2019-07-23","E-RL-31-[人流]医院-地域流量1-m",5,0,0.00,0.00,0.00%,0,0,0,106064484
"xa-lhyy66","2019-07-23","E-RL-41-（非地域）人流",23,2,20.06,10.03,8.70%,0,0,0,106064507
"xa-lhyy66","2019-07-23","E-YC-59-引产",5,0,0.00,0.00,0.00%,0,0,0,106064402
"xa-lhyy66","2019-07-23","E-YC-38-引产 MO",11,0,0.00,0.00,0.00%,0,0,0,106064408
"xa-lhyy66","2019-07-23","E-YC-43-引产时间",23,1,4.09,4.09,4.35%,0,0,0,106064409
"xa-lhyy66","2019-07-23","E-YC-42-引产流量",16,1,3.33,3.33,6.25%,0,0,0,106064412
"xa-lhyy66","2019-07-23","E-YC-52-引产 MO",38,0,0.00,0.00,0.00%,0,0,0,106064414
"xa-lhyy66","2019-07-23","E-YC-10-[引产]怀孕月份",12,1,2.50,2.50,8.33%,0,0,0,106064442
"xa-lhyy66","2019-07-23","E-YC-13-引产",22,0,0.00,0.00,0.00%,0,0,0,106064443
"xa-lhyy66","2019-07-23","E-ZZY-13-早孕流量",21,1,1.28,1.28,4.76%,0,0,0,106064448
"xa-lhyy66","2019-07-23","E-ZZY-14-早孕-验孕",399,20,76.69,3.83,5.01%,0,0,0,106064449
"xa-lhyy66","2019-07-23","E-ZZY-15-[非地域]早孕-意外怀孕",54,0,0.00,0.00,0.00%,0,0,0,106064450
"xa-lhyy66","2019-07-23","E-ZZY-16-早孕-怀孕检测",382,26,94.09,3.62,6.81%,0,0,0,106064451
"xa-lhyy66","2019-07-23","E-ZZY-10-早孕",54,1,2.41,2.41,1.85%,0,0,0,106064452
"xa-lhyy66","2019-07-23","E-ZZY-1-[非地域]早孕-意外怀孕",227,14,53.61,3.83,6.17%,0,0,0,106064453
"xa-lhyy66","2019-07-23","E-ZZY-12-早孕检查-怀孕",55,5,18.49,3.70,9.09%,0,0,0,106064454
"xa-lhyy66","2019-07-23","E-ZZY-11-早孕[意外怀孕]",8,0,0.00,0.00,0.00%,0,0,0,106064455
"xa-lhyy66","2019-07-23","E-ZZY-8-[早孕]C-早孕检查",13,2,6.49,3.25,15.38%,0,0,0,106064464
"xa-lhyy66","2019-07-23","E-ZZY-9-流量[早孕/怀孕检查]",7,1,3.19,3.19,14.29%,0,0,0,106064465
"xa-lhyy66","2019-07-23","E-ZZY-7-[早孕]-3G怀孕流量",60,4,17.85,4.46,6.67%,0,0,0,106064467
"xa-lhyy66","2019-07-23","E-ZZY-3-[早孕]-3G怀孕流量",433,13,43.58,3.35,3.00%,0,0,0,106064468
"xa-lhyy66","2019-07-23","E-ZZY-5-[早孕-检查]",48,3,13.13,4.38,6.25%,0,0,0,106064470
"xa-lhyy66","2019-07-23","E-ZZY-4-[早孕]C-早孕检查",57,7,16.53,2.36,12.28%,0,0,0,106064471
"xa-lhyy66","2019-07-23","E-ZZY-21-早孕-验孕",4,0,0.00,0.00,0.00%,0,0,0,106064472
"xa-lhyy66","2019-07-23","E-ZZY-20-早孕检查-怀孕",79,11,35.73,3.25,13.92%,0,0,0,106064473
"xa-lhyy66","2019-07-23","E-ZZY-24-早孕",365,20,65.64,3.28,5.48%,0,0,0,106064474
"xa-lhyy66","2019-07-23","E-ZZY-22-流量[早孕/怀孕检查]",85,7,27.22,3.89,8.24%,0,0,0,106064475
"xa-lhyy66","2019-07-23","E-ZZY-18-早孕-怀孕检测",26,1,1.90,1.90,3.85%,0,0,0,106064476
"xa-lhyy66","2019-07-23","E-ZZY-17-早孕检查",140,6,24.10,4.02,4.29%,0,0,0,106064477
"xa-lhyy66","2019-07-23","E-ZZY-2-[妇]-早孕-反应症状",71,9,28.28,3.14,12.68%,0,0,0,106064478
"xa-lhyy66","2019-07-23","E-ZZY-19-早孕检查",101,11,39.62,3.60,10.89%,0,0,0,106064479
"xa-lhyy66","2019-07-23","E-YL-7-[药流]费用 新",12,0,0.00,0.00,0.00%,0,0,0,106064536
"xa-lhyy66","2019-07-23","E-YC-68-非-引产-量",5,0,0.00,0.00,0.00%,0,0,0,106064550
"xa-lhyy66","2019-07-23","E-YC-8-[引产]医院-地域",2,0,0.00,0.00,0.00%,0,0,0,106064556
"xa-lhyy66","2019-07-23","E-YC-80-（非地域）引产时间",9,1,4.53,4.53,11.11%,0,0,0,106064563
"xa-lhyy66","2019-07-23","E-ZZY-88-观察计划",76,7,5.79,0.83,9.21%,0,0,0,106669314
"xa-lhyy66","2019-07-23","E-ZZY-26-[早孕]-试纸一深一浅",266,3,8.05,2.68,1.13%,0,0,0,106793831
"xa-lhyy66","2019-07-23","E-YC-58-地-引产杂",19,2,10.92,5.46,10.53%,0,0,0,106064401
"xa-lhyy66","2019-07-23","E-YC-53-引产安徽 1",2,0,0.00,0.00,0.00%,0,0,0,106064403
"xa-lhyy66","2019-07-23","E-YC-1-[引产]西安",18,0,0.00,0.00,0.00%,0,0,0,106064421
"xa-lhyy66","2019-07-23","E-YC-36-非地域",2,0,0.00,0.00,0.00%,0,0,0,106064436
"xa-lhyy66","2019-07-23","E-YC-18-引产",4,0,0.00,0.00,0.00%,0,0,0,106064445
"xa-lhyy66","2019-07-23","E-YC-15-时间-西安",5,0,0.00,0.00,0.00%,0,0,0,106064446
"xa-lhyy66","2019-07-23","E-HY-1西安妇科医院",35,1,11.56,11.56,2.86%,0,0,0,106064521
"xa-lhyy66","2019-07-23","E-HY-4妇科医院",5,0,0.00,0.00,0.00%,0,0,0,106064524
"xa-lhyy66","2019-07-23","E-HY-7[妇科医院1]",11,0,0.00,0.00,0.00%,0,0,0,106064526
"xa-lhyy66","2019-07-23","E-HY-9地域-妇科医院",17,0,0.00,0.00,0.00%,0,0,0,106064527
"xa-lhyy66","2019-07-23","E-HY-8[妇科医院]",6,0,0.00,0.00,0.00%,0,0,0,106064529
"xa-lhyy66","2019-07-23","E-YC-73-非-引产费用",1,0,0.00,0.00,0.00%,0,0,0,106064554
"xa-lhyy66","2019-07-23","E-YC-78-非-引产",1,0,0.00,0.00,0.00%,0,0,0,106064559
"xa-lhyy66","2019-07-23","E-YC-87-引流",3,0,0.00,0.00,0.00%,0,0,0,106064560
"xa-lhyy66","2019-07-23","E-YC-44-引产时间-费用",3,0,0.00,0.00,0.00%,0,0,0,106064410
"xa-lhyy66","2019-07-23","E-YC-50-地域",3,0,0.00,0.00,0.00%,0,0,0,106064413
"xa-lhyy66","2019-07-23","E-YZ-9-重点词血疙瘩",402,24,45.87,1.91,5.97%,0,0,0,106064457
"xa-lhyy66","2019-07-23","E-YZ-5-尿道炎女",24,1,2.64,2.64,4.17%,0,0,0,106064460
"xa-lhyy66","2019-07-23","E-YZ-4-阴道炎",374,24,100.50,4.19,6.42%,0,0,0,106064461
"xa-lhyy66","2019-07-23","E-YZ-8-疼-痛",1211,46,121.23,2.64,3.80%,0,0,0,106064462
"xa-lhyy66","2019-07-23","E-YZ-7-妇科炎症",220,9,22.42,2.49,4.09%,0,0,0,106064463
"xa-lhyy66","2019-07-23","E-YZ-30外阴瘙痒",323,8,19.65,2.46,2.48%,0,0,0,106064480
"xa-lhyy66","2019-07-23","E-RL-5-[流产]无痛技术-m",1,0,0.00,0.00,0.00%,0,0,0,106064500
"xa-lhyy66","2019-07-23","E-FKJC-1-妇科检查",1299,34,258.79,7.61,2.62%,0,0,0,106064514
"xa-lhyy66","2019-07-23","E-FKJC-2-非-妇科检查",223,4,40.79,10.20,1.79%,0,0,0,106064515
"xa-lhyy66","2019-07-23","E-FKJC-3-综合",985,16,78.27,4.89,1.62%,0,0,0,106064516
"xa-lhyy66","2019-07-23","E-FKJC-4-妇科检查",1370,36,219.95,6.11,2.63%,0,0,0,106064517
"xa-lhyy66","2019-07-23","E-FKJC-5-[妇科检查]",475,12,201.21,16.77,2.53%,0,0,0,106064518
"xa-lhyy66","2019-07-23","E-FKJC-6-[妇科检查]",80,3,24.58,8.19,3.75%,0,0,0,106064519
"xa-lhyy66","2019-07-23","E-HY-2妇科医院",8,0,0.00,0.00,0.00%,0,0,0,106064522
"xa-lhyy66","2019-07-23","E-YZ-11-阴道炎",502,39,120.03,3.08,7.77%,0,0,0,106064537
"xa-lhyy66","2019-07-23","E-YZ-14-妇科炎症",432,41,99.30,2.42,9.49%,0,0,0,106064538
"xa-lhyy66","2019-07-23","E-YZ-12-疙瘩水泡痘痘",190,5,13.17,2.63,2.63%,0,0,0,106064540
"xa-lhyy66","2019-07-23","E-YZ-15-阴道口-红-点",442,11,31.22,2.84,2.49%,0,0,0,106064541
"xa-lhyy66","2019-07-23","E-YZ-13-阴道疙瘩",8,0,0.00,0.00,0.00%,0,0,0,106064543
"xa-lhyy66","2019-07-23","E-YC-76-（非地域）引产",4,0,0.00,0.00,0.00%,0,0,0,106064553
"xa-lhyy66","2019-07-23","E-YZ-29外阴异常",439,25,65.98,2.64,5.69%,0,0,0,106064577
"xa-lhyy66","2019-07-23","E-YZ-28-尿道炎",649,41,192.82,4.70,6.32%,0,0,0,106064578
"xa-lhyy66","2019-07-23","E-YZ-24-阴道炎",307,15,28.19,1.88,4.89%,0,0,0,106064579
"xa-lhyy66","2019-07-23","E-YZ-17-[阴道炎]",646,60,171.31,2.86,9.29%,0,0,0,106064581
"xa-lhyy66","2019-07-23","E-ZZY-6-[妇]-早孕-反应症状",1,0,0.00,0.00,0.00%,0,0,0,106064466
"xa-lhyy66","2019-07-23","E-ZZY-25-早孕[意外怀孕]",3,0,0.00,0.00,0.00%,0,0,0,106064469
"xa-lhyy66","2019-07-23","E-RL-21-人流 MO（低价）",30,0,0.00,0.00,0.00%,0,0,0,106064488
"xa-lhyy66","2019-07-23","E-RL-34-（非地域）打胎",1,0,0.00,0.00,0.00%,0,0,0,106064506
"xa-lhyy66","2019-07-23","E-HY-3妇科医院",7,1,2.10,2.10,14.29%,0,0,0,106064523
"xa-lhyy66","2019-07-23","E-HY-6[区域医院]",3,0,0.00,0.00,0.00%,0,0,0,106064525
"xa-lhyy66","2019-07-23","E-YC-66-综合",1,0,0.00,0.00,0.00%,0,0,0,106064545
"xa-lhyy66","2019-07-23","E-YC-82-引产",1,0,0.00,0.00,0.00%,0,0,0,106064561
"xa-lhyy66","2019-07-23","E-YZ-1-阴道炎-治疗",101,5,24.38,4.88,4.95%,0,0,0,106064580
"xa-lhyy66","2019-07-23","E-YC-22-引产流量",1,0,0.00,0.00,0.00%,0,0,0,106064435
"xa-lhyy66","2019-07-23","E-YC-11-[引产]流量",3,0,0.00,0.00,0.00%,0,0,0,106064420
"xa-lhyy66","2019-07-23","E-YC-85-引产",1,0,0.00,0.00,0.00%,0,0,0,106064567
"xa-lhyy66","2019-07-23","E-PP-5-品牌抢排名",6,0,0.00,0.00,0.00%,0,0,0,106865485
"xa-lhyy66","2019-07-23","E-HY-10妇科医院(西安)",1,1,7.74,7.74,100.00%,0,0,0,106064520
"xa-lhyy66","2019-07-23","E-YZ-2-阴道炎-医院",7,1,6.96,6.96,14.29%,0,0,0,106064481
"xa-lhyy66","2019-07-23","E-YC-46-引产时间-流量",2,0,0.00,0.00,0.00%,0,0,0,106064415
"xa-lhyy66","2019-07-23","E-YL-3-[药流]西安费用-地域 新",2,0,0.00,0.00,0.00%,0,0,0,106064532
"xa-lhyy66","2019-07-23","E-YC-32-[引产]费用",2,0,0.00,0.00,0.00%,0,0,0,106064432
"xa-lhyy66","2019-07-23","E-YC-74-费用",2,0,0.00,0.00,0.00%,0,0,0,106064555
"xa-lhyy66","2019-07-23","E-YC-81-[引产全词]",7,0,0.00,0.00,0.00%,0,0,0,106064557
"xa-lhyy66","2019-07-23","E-YL-6-[药流]西安-地域 新",1,0,0.00,0.00,0.00%,0,0,0,106064533
"xa-lhyy66","2019-07-23","E-YL-2-[药流]西安医院-地域 新",2,0,0.00,0.00,0.00%,0,0,0,106064574
"xa-lhyy66","2019-07-23","E-YC-37-引产",1,0,0.00,0.00,0.00%,0,0,0,106064398
"xa-lhyy66","2019-07-23","E-YZ-3-阴道炎-费用",1,0,0.00,0.00,0.00%,0,0,0,106064447
"xa-lhyy66","2019-07-23","E-YC-75-引产时间",2,0,0.00,0.00,0.00%,0,0,0,106064552
"xa-lhyy66","2019-07-23","E-YC-63-引产时间",2,0,0.00,0.00,0.00%,0,0,0,106064547
"xa-lhyy","2019-07-23","C-PP-05 [品牌]-莲湖生殖2",27,3,1.94,0.65,11.11%,0,0,0,73104600
"xa-lhyy","2019-07-23","C-ZZY-12 [怀孕]-早孕",25,3,9.42,3.14,12.00%,0,0,0,74371616
"xa-lhyy","2019-07-23","C-ZZY-14[早孕]-早孕测试",348,16,39.82,2.49,4.60%,0,0,0,91483533
"xa-lhyy","2019-07-23","C-ZZY-13 [早孕]-查早孕",372,17,50.84,2.99,4.57%,0,0,0,91483534
"xa-lhyy","2019-07-23","C-RL-38人流费用",45,0,0.00,0.00,0.00%,0,0,0,106067185
"xa-lhyy","2019-07-23","C-RL-35流产费用",8,0,0.00,0.00,0.00%,0,0,0,106067186
"xa-lhyy","2019-07-23","C-RL-36无痛人流",31,0,0.00,0.00,0.00%,0,0,0,106067187
"xa-lhyy","2019-07-23","C-RL-39意外怀孕",390,18,63.10,3.51,4.62%,0,0,0,106067190
"xa-lhyy","2019-07-23","C-RL-30胎停育",171,3,11.52,3.84,1.75%,0,0,0,106067193
"xa-lhyy","2019-07-23","C-RL-28时间-打掉",16,2,7.91,3.96,12.50%,0,0,0,106067194
"xa-lhyy","2019-07-23","C-RL-29打胎费用",3,0,0.00,0.00,0.00%,0,0,0,106067195
"xa-lhyy","2019-07-23","C-RL-33西安",131,5,41.28,8.26,3.82%,0,0,0,106067196
"xa-lhyy","2019-07-23","C-RL-32非-人流时间",51,1,2.88,2.88,1.96%,0,0,0,106067199
"xa-lhyy","2019-07-23","C-RL-46无痛人流流量",17,0,0.00,0.00,0.00%,0,0,0,106067204
"xa-lhyy","2019-07-23","C-RL-54人流-时间",13,0,0.00,0.00,0.00%,0,0,0,106067212
"xa-lhyy","2019-07-23","C-RL-65流产流量",101,2,8.15,4.08,1.98%,0,0,0,106067216
"xa-lhyy","2019-07-23","C-RL-62流产时间",34,4,31.15,7.79,11.76%,0,0,0,106067219
"xa-lhyy","2019-07-23","C-RL-73堕胎-费用",17,1,7.06,7.06,5.88%,0,0,0,106067225
"xa-lhyy","2019-07-23","C-RL-6人流-医院-西安-xj",3,0,0.00,0.00,0.00%,0,0,0,106067227
"xa-lhyy","2019-07-23","C-RL-A8时间-不要",73,0,0.00,0.00,0.00%,0,0,0,106067242
"xa-lhyy","2019-07-23","C-RL-99打胎",11,1,3.23,3.23,9.09%,0,0,0,106067244
"xa-lhyy","2019-07-23","C-RL-A2打掉",71,0,0.00,0.00,0.00%,0,0,0,106067245
"xa-lhyy","2019-07-23","C-RL-A1打孩子-费用",23,1,2.93,2.93,4.35%,0,0,0,106067246
"xa-lhyy","2019-07-23","C-RL-A4人流 MO 时间",115,6,34.62,5.77,5.22%,0,0,0,106067247
"xa-lhyy","2019-07-23","C-RL-B1手术时间-南",15,0,0.00,0.00,0.00%,0,0,0,106067249
"xa-lhyy","2019-07-23","C-RL-B4人流医院",22,0,0.00,0.00,0.00%,0,0,0,106067250
"xa-lhyy","2019-07-23","C-RL-B2意外怀孕",14,0,0.00,0.00,0.00%,0,0,0,106067252
"xa-lhyy","2019-07-23","C-RL-B9人流时间",8,0,0.00,0.00,0.00%,0,0,0,106067257
"xa-lhyy","2019-07-23","C-RL-C1人流流量",8,0,0.00,0.00,0.00%,0,0,0,106067260
"xa-lhyy","2019-07-23","C-RL-7人流-医院-xj",22,2,13.78,6.89,9.09%,0,0,0,106067264
"xa-lhyy","2019-07-23","C-RL-78打胎流量",7,0,0.00,0.00,0.00%,0,0,0,106067266
"xa-lhyy","2019-07-23","C-RL-79人流时间",165,8,47.55,5.94,4.85%,0,0,0,106067267
"xa-lhyy","2019-07-23","C-RL-81打胎堕胎sj",120,3,21.76,7.25,2.50%,0,0,0,106067270
"xa-lhyy","2019-07-23","C-RL-87人流类-时间",90,3,12.86,4.29,3.33%,0,0,0,106067273
"xa-lhyy","2019-07-23","C-RL-84(人流时间)",31,0,0.00,0.00,0.00%,0,0,0,106067274
"xa-lhyy","2019-07-23","C-RL-93人流 MO（低价）",181,1,7.58,7.58,0.55%,0,0,0,106067282
"xa-lhyy","2019-07-23","C-YC-13引流",25,2,13.30,6.65,8.00%,0,0,0,106067284
"xa-lhyy","2019-07-23","C-YC-10引产",60,4,15.37,3.84,6.67%,0,0,0,106067287
"xa-lhyy","2019-07-23","C-YC-18[引产]怀孕月份",17,1,5.37,5.37,5.88%,0,0,0,106067288
"xa-lhyy","2019-07-23","C-YC-11引产",15,0,0.00,0.00,0.00%,0,0,0,106067290
"xa-lhyy","2019-07-23","C-YC-15引产 MO",51,3,13.37,4.46,5.88%,0,0,0,106067294
"xa-lhyy","2019-07-23","C-RL-D1人流(DJ)",306,14,85.02,6.07,4.58%,0,0,0,106067300
"xa-lhyy","2019-07-23","C-RL-D6打胎,流产",84,6,45.60,7.60,7.14%,0,0,0,106067305
"xa-lhyy","2019-07-23","C-RL-D8流产流量",108,4,29.36,7.34,3.70%,0,0,0,106067307
"xa-lhyy","2019-07-23","C-RL-D9人流时间(综合)",190,9,64.93,7.21,4.74%,0,0,0,106067308
"xa-lhyy","2019-07-23","C-RL-E3宫外孕",63,3,14.82,4.94,4.76%,0,0,0,106067313
"xa-lhyy","2019-07-23","C-RL-E8（非地域）流产",9,0,0.00,0.00,0.00%,0,0,0,106067314
"xa-lhyy","2019-07-23","C-RL-E5（非地域）人流",61,0,0.00,0.00,0.00%,0,0,0,106067315
"xa-lhyy","2019-07-23","C-SQH-1上取环",169,11,21.95,2.00,6.51%,0,0,0,106067326
"xa-lhyy","2019-07-23","C-RL-F8打胎堕胎",10,0,0.00,0.00,0.00%,0,0,0,106067327
"xa-lhyy","2019-07-23","C-YL-1药流综合",27,1,5.91,5.91,3.70%,0,0,0,106067337
"xa-lhyy","2019-07-23","C-YJ-12月经推迟",364,46,92.47,2.01,12.64%,0,0,0,106067338
"xa-lhyy","2019-07-23","C-YJ-13例假推迟早孕",291,30,55.17,1.84,10.31%,0,0,0,106067339
"xa-lhyy","2019-07-23","C-YZ-12阴道炎",128,9,22.66,2.52,7.03%,0,0,0,106067346
"xa-lhyy","2019-07-23","C-YZ-3宫颈炎",259,14,63.09,4.51,5.41%,0,0,0,106067347
"xa-lhyy","2019-07-23","C-YZ-11尿道炎",19,0,0.00,0.00,0.00%,0,0,0,106067349
"xa-lhyy","2019-07-23","C-YZ-13妇科类-炎症",64,5,13.31,2.66,7.81%,0,0,0,106067351
"xa-lhyy","2019-07-23","C-YZ-10疼-痛",906,52,180.56,3.47,5.74%,0,0,0,106067352
"xa-lhyy","2019-07-23","C-YC-38引产时间",25,0,0.00,0.00,0.00%,0,0,0,106067360
"xa-lhyy","2019-07-23","C-YC-35引产费用",27,5,20.32,4.06,18.52%,0,0,0,106067367
"xa-lhyy","2019-07-23","C-YC-5时间-XXX",38,2,10.28,5.14,5.26%,0,0,0,106067376
"xa-lhyy","2019-07-23","C-RL-27人流-重点",28,1,11.29,11.29,3.57%,0,0,0,106067385
"xa-lhyy","2019-07-23","C-RL-26计生怀孕",438,24,132.69,5.53,5.48%,0,0,0,106067386
"xa-lhyy","2019-07-23","C-RL-25流产",116,1,6.35,6.35,0.86%,0,0,0,106067387
